"HP4396A REV1.01"
"DATE: Dec  6 1992"



"CHANNEL: 1"
"MEASURE TYPE: A/R"
"FORMAT TYPE: LOG MAG"
"NUMBER of POINTS: 801"
"SWEEP TIME:  280 ms"
"SWEEP TYPE: LIN FREQ"
"SOURCE POWER:  3.3 dBm"
"IF BANDWIDTH:  40 kHz"

"Frequency"	"Data Trace Real"	"Data Trace Imag"	"Memory Trace Real"	"Memory Trace Imag"
1.000000000000E+05	-1.747315E+01	0.000000E+00	-1.510051E+01	0.000000E+00
1.017500000000E+05	-1.687516E+01	0.000000E+00	-1.509889E+01	0.000000E+00
1.035000000000E+05	-1.590692E+01	0.000000E+00	-1.515604E+01	0.000000E+00
1.052500000000E+05	-1.931197E+01	0.000000E+00	-1.525012E+01	0.000000E+00
1.070000000000E+05	-1.882534E+01	0.000000E+00	-1.536042E+01	0.000000E+00
1.087500000000E+05	-2.094216E+01	0.000000E+00	-1.532117E+01	0.000000E+00
1.105000000000E+05	-1.539681E+01	0.000000E+00	-1.515347E+01	0.000000E+00
1.122500000000E+05	-1.648961E+01	0.000000E+00	-1.532113E+01	0.000000E+00
1.140000000000E+05	-1.944828E+01	0.000000E+00	-1.532306E+01	0.000000E+00
1.157500000000E+05	-2.154852E+01	0.000000E+00	-1.520048E+01	0.000000E+00
1.175000000000E+05	-2.086378E+01	0.000000E+00	-1.535763E+01	0.000000E+00
1.192500000000E+05	-1.637530E+01	0.000000E+00	-1.525074E+01	0.000000E+00
1.210000000000E+05	-1.547147E+01	0.000000E+00	-1.529828E+01	0.000000E+00
1.227500000000E+05	-2.063083E+01	0.000000E+00	-1.541780E+01	0.000000E+00
1.245000000000E+05	-1.607343E+01	0.000000E+00	-1.520996E+01	0.000000E+00
1.262500000000E+05	-1.820226E+01	0.000000E+00	-1.524993E+01	0.000000E+00
1.280000000000E+05	-1.750427E+01	0.000000E+00	-1.539586E+01	0.000000E+00
1.297500000000E+05	-1.955830E+01	0.000000E+00	-1.543145E+01	0.000000E+00
1.315000000000E+05	-1.747163E+01	0.000000E+00	-1.542943E+01	0.000000E+00
1.332500000000E+05	-1.825763E+01	0.000000E+00	-1.542588E+01	0.000000E+00
1.350000000000E+05	-1.848224E+01	0.000000E+00	-1.540150E+01	0.000000E+00
1.367500000000E+05	-1.720081E+01	0.000000E+00	-1.544352E+01	0.000000E+00
1.385000000000E+05	-1.777027E+01	0.000000E+00	-1.545140E+01	0.000000E+00
1.402500000000E+05	-1.786938E+01	0.000000E+00	-1.545281E+01	0.000000E+00
1.420000000000E+05	-1.786640E+01	0.000000E+00	-1.533558E+01	0.000000E+00
1.437500000000E+05	-1.729176E+01	0.000000E+00	-1.528132E+01	0.000000E+00
1.455000000000E+05	-1.837904E+01	0.000000E+00	-1.544045E+01	0.000000E+00
1.472500000000E+05	-1.788806E+01	0.000000E+00	-1.547092E+01	0.000000E+00
1.490000000000E+05	-1.881135E+01	0.000000E+00	-1.532385E+01	0.000000E+00
1.507500000000E+05	-1.672701E+01	0.000000E+00	-1.552813E+01	0.000000E+00
1.525000000000E+05	-1.773918E+01	0.000000E+00	-1.535084E+01	0.000000E+00
1.542500000000E+05	-1.764083E+01	0.000000E+00	-1.552047E+01	0.000000E+00
1.560000000000E+05	-1.673619E+01	0.000000E+00	-1.536718E+01	0.000000E+00
1.577500000000E+05	-1.647130E+01	0.000000E+00	-1.541855E+01	0.000000E+00
1.595000000000E+05	-1.849762E+01	0.000000E+00	-1.551207E+01	0.000000E+00
1.612500000000E+05	-1.823619E+01	0.000000E+00	-1.540744E+01	0.000000E+00
1.630000000000E+05	-1.875616E+01	0.000000E+00	-1.537229E+01	0.000000E+00
1.647500000000E+05	-1.732789E+01	0.000000E+00	-1.538071E+01	0.000000E+00
1.665000000000E+05	-1.754088E+01	0.000000E+00	-1.544582E+01	0.000000E+00
1.682500000000E+05	-1.811873E+01	0.000000E+00	-1.545735E+01	0.000000E+00
1.700000000000E+05	-1.829199E+01	0.000000E+00	-1.546272E+01	0.000000E+00
1.717500000000E+05	-1.815404E+01	0.000000E+00	-1.544077E+01	0.000000E+00
1.735000000000E+05	-1.761661E+01	0.000000E+00	-1.539109E+01	0.000000E+00
1.752500000000E+05	-1.767470E+01	0.000000E+00	-1.537072E+01	0.000000E+00
1.770000000000E+05	-1.791139E+01	0.000000E+00	-1.540923E+01	0.000000E+00
1.787500000000E+05	-1.775441E+01	0.000000E+00	-1.549917E+01	0.000000E+00
1.805000000000E+05	-1.769946E+01	0.000000E+00	-1.547126E+01	0.000000E+00
1.822500000000E+05	-1.773236E+01	0.000000E+00	-1.538563E+01	0.000000E+00
