"HP4396A REV1.01"
"DATE: Dec  6 1992"



"CHANNEL: 1"
"MEASURE TYPE: A/R"
"FORMAT TYPE: LOG MAG"
"NUMBER of POINTS: 801"
"SWEEP TIME:  280 ms"
"SWEEP TYPE: LIN FREQ"
"SOURCE POWER:  3.3 dBm"
"IF BANDWIDTH:  40 kHz"

"Frequency"	"Data Trace Real"	"Data Trace Imag"	"Memory Trace Real"	"Memory Trace Imag"
1.000000000000E+05	-1.767183E+01	0.000000E+00	-1.510051E+01	0.000000E+00
1.017500000000E+05	-1.711890E+01	0.000000E+00	-1.509889E+01	0.000000E+00
1.035000000000E+05	-1.570201E+01	0.000000E+00	-1.515604E+01	0.000000E+00
1.052500000000E+05	-1.929085E+01	0.000000E+00	-1.525012E+01	0.000000E+00
1.070000000000E+05	-1.888685E+01	0.000000E+00	-1.536042E+01	0.000000E+00
1.087500000000E+05	-2.087126E+01	0.000000E+00	-1.532117E+01	0.000000E+00
1.105000000000E+05	-1.541819E+01	0.000000E+00	-1.515347E+01	0.000000E+00
1.122500000000E+05	-1.639303E+01	0.000000E+00	-1.532113E+01	0.000000E+00
1.140000000000E+05	-1.949837E+01	0.000000E+00	-1.532306E+01	0.000000E+00
1.157500000000E+05	-2.147530E+01	0.000000E+00	-1.520048E+01	0.000000E+00
1.175000000000E+05	-2.089519E+01	0.000000E+00	-1.535763E+01	0.000000E+00
1.192500000000E+05	-1.636773E+01	0.000000E+00	-1.525074E+01	0.000000E+00
1.210000000000E+05	-1.542200E+01	0.000000E+00	-1.529828E+01	0.000000E+00
1.227500000000E+05	-2.065183E+01	0.000000E+00	-1.541780E+01	0.000000E+00
1.245000000000E+05	-1.607119E+01	0.000000E+00	-1.520996E+01	0.000000E+00
1.262500000000E+05	-1.819647E+01	0.000000E+00	-1.524993E+01	0.000000E+00
1.280000000000E+05	-1.754363E+01	0.000000E+00	-1.539586E+01	0.000000E+00
1.297500000000E+05	-1.962164E+01	0.000000E+00	-1.543145E+01	0.000000E+00
1.315000000000E+05	-1.747909E+01	0.000000E+00	-1.542943E+01	0.000000E+00
1.332500000000E+05	-1.824971E+01	0.000000E+00	-1.542588E+01	0.000000E+00
1.350000000000E+05	-1.848703E+01	0.000000E+00	-1.540150E+01	0.000000E+00
1.367500000000E+05	-1.726392E+01	0.000000E+00	-1.544352E+01	0.000000E+00
1.385000000000E+05	-1.778351E+01	0.000000E+00	-1.545140E+01	0.000000E+00
1.402500000000E+05	-1.787213E+01	0.000000E+00	-1.545281E+01	0.000000E+00
1.420000000000E+05	-1.786638E+01	0.000000E+00	-1.533558E+01	0.000000E+00
1.437500000000E+05	-1.729093E+01	0.000000E+00	-1.528132E+01	0.000000E+00
1.455000000000E+05	-1.831560E+01	0.000000E+00	-1.544045E+01	0.000000E+00
1.472500000000E+05	-1.784805E+01	0.000000E+00	-1.547092E+01	0.000000E+00
1.490000000000E+05	-1.886068E+01	0.000000E+00	-1.532385E+01	0.000000E+00
1.507500000000E+05	-1.664785E+01	0.000000E+00	-1.552813E+01	0.000000E+00
1.525000000000E+05	-1.770167E+01	0.000000E+00	-1.535084E+01	0.000000E+00
1.542500000000E+05	-1.762632E+01	0.000000E+00	-1.552047E+01	0.000000E+00
1.560000000000E+05	-1.674284E+01	0.000000E+00	-1.536718E+01	0.000000E+00
1.577500000000E+05	-1.643384E+01	0.000000E+00	-1.541855E+01	0.000000E+00
1.595000000000E+05	-1.848818E+01	0.000000E+00	-1.551207E+01	0.000000E+00
1.612500000000E+05	-1.826190E+01	0.000000E+00	-1.540744E+01	0.000000E+00
1.630000000000E+05	-1.875634E+01	0.000000E+00	-1.537229E+01	0.000000E+00
1.647500000000E+05	-1.726188E+01	0.000000E+00	-1.538071E+01	0.000000E+00
1.665000000000E+05	-1.755284E+01	0.000000E+00	-1.544582E+01	0.000000E+00
1.682500000000E+05	-1.810539E+01	0.000000E+00	-1.545735E+01	0.000000E+00
1.700000000000E+05	-1.830838E+01	0.000000E+00	-1.546272E+01	0.000000E+00
1.717500000000E+05	-1.817636E+01	0.000000E+00	-1.544077E+01	0.000000E+00
1.735000000000E+05	-1.759648E+01	0.000000E+00	-1.539109E+01	0.000000E+00
1.752500000000E+05	-1.765961E+01	0.000000E+00	-1.537072E+01	0.000000E+00
1.770000000000E+05	-1.786175E+01	0.000000E+00	-1.540923E+01	0.000000E+00
